,Data_Value,Gender
655,427.1,Female
656,384.1,Female
657,345.1,Female
658,368.3,Female
659,342.1,Female
660,397.3,Female
661,334.9,Female
662,475.6,Female
663,434.5,Female
664,364.0,Female
665,356.9,Female
666,439.9,Female
667,338.9,Female
668,427.2,Female
669,335.2,Female
670,353.1,Female
671,387.3,Female
672,331.7,Female
673,319.1,Female
674,404.2,Female
675,306.1,Female
676,380.8,Female
677,331.6,Female
678,402.5,Female
679,305.5,Female
680,365.9,Female
681,399.5,Female
682,376.7,Female
683,316.8,Female
684,475.7,Female
685,476.1,Female
686,400.6,Female
687,352.3,Female
688,328.3,Female
689,281.2,Female
690,383.8,Female
691,446.8,Female
692,333.7,Female
693,352.6,Female
694,433.0,Female
695,301.4,Female
696,344.7,Female
697,255.6,Female
698,414.4,Female
699,421.3,Female
700,353.1,Female
701,316.1,Female
702,556.1,Female
703,410.8,Female
704,653.7,Female
705,419.6,Female
706,427.8,Overall
707,385.8,Overall
708,437.3,Overall
709,415.1,Overall
710,424.6,Overall
711,390.1,Overall
712,472.8,Overall
713,585.5,Overall
714,361.1,Overall
715,492.7,Overall
716,546.6,Overall
717,485.4,Overall
718,408.9,Overall
719,540.1,Overall
720,542.8,Overall
721,413.0,Overall
722,559.7,Overall
723,476.9,Overall
724,419.3,Overall
725,482.3,Overall
726,467.8,Overall
727,442.1,Overall
728,435.1,Overall
729,502.2,Overall
730,563.8,Overall
731,472.4,Overall
732,454.7,Overall
733,555.7,Overall
734,469.3,Overall
735,545.3,Overall
736,451.0,Overall
737,393.7,Overall
738,419.9,Overall
739,397.4,Overall
740,357.3,Overall
741,522.1,Overall
742,355.0,Overall
743,488.4,Overall
744,388.0,Overall
745,534.7,Overall
746,352.3,Overall
747,468.8,Overall
748,381.9,Overall
749,423.1,Overall
750,395.0,Overall
751,496.6,Overall
752,583.7,Overall
753,520.3,Overall
754,443.0,Overall
755,387.7,Overall
756,353.8,Overall
757,476.5,Overall
758,508.0,Overall
759,432.1,Overall
760,404.2,Overall
761,536.2,Overall
762,369.7,Overall
763,441.1,Overall
764,310.9,Overall
765,451.0,Overall
766,439.2,Overall
767,414.6,Overall
768,395.4,Overall
769,687.5,Overall
770,491.2,Overall
771,478.4,Overall
772,450.8,Overall
773,518.0,Male
774,481.0,Male
775,521.8,Male
776,526.5,Male
777,517.4,Male
778,484.8,Male
779,612.6,Male
780,729.2,Male
781,442.7,Male
782,603.5,Male
783,632.2,Male
784,627.1,Male
785,509.9,Male
786,598.6,Male
787,646.6,Male
788,539.7,Male
789,697.1,Male
790,601.6,Male
791,508.3,Male
792,644.5,Male
793,649.3,Male
794,478.9,Male
795,546.6,Male
796,625.5,Male
797,703.1,Male
798,570.3,Male
799,548.1,Male
800,711.7,Male
801,621.2,Male
802,678.5,Male
803,597.1,Male
804,539.0,Male
805,543.0,Male
806,522.8,Male
807,453.4,Male
808,645.8,Male
809,461.2,Male
810,605.6,Male
811,472.9,Male
812,621.7,Male
813,429.3,Male
814,568.5,Male
815,483.7,Male
816,508.4,Male
817,485.8,Male
818,570.0,Male
819,684.7,Male
820,659.7,Male
821,560.7,Male
822,499.0,Male
823,475.3,Male
824,570.8,Male
825,624.3,Male
826,547.8,Male
827,497.0,Male
828,658.5,Male
829,479.0,Male
830,567.4,Male
831,385.7,Male
832,624.2,Male
833,485.5,Male
834,488.6,Male
835,536.5,Male
836,783.4,Male
837,588.9,Male
838,576.7,Male
839,483.7,Male
840,354.1,Female
841,307.1,Female
842,333.7,Female
843,311.6,Female
844,339.9,Female
845,305.1,Female
846,370.0,Female
847,464.5,Female
848,298.8,Female
849,423.1,Female
850,448.3,Female
851,394.2,Female
852,321.4,Female
853,446.9,Female
854,440.6,Female
855,341.9,Female
856,437.2,Female
857,374.1,Female
858,334.6,Female
859,348.6,Female
860,333.6,Female
861,403.0,Female
862,323.8,Female
863,403.6,Female
864,443.3,Female
865,382.1,Female
866,339.2,Female
867,436.3,Female
868,351.7,Female
869,438.5,Female
870,326.7,Female
871,294.1,Female
872,351.6,Female
873,311.7,Female
874,304.0,Female
875,408.6,Female
876,279.8,Female
877,394.7,Female
878,328.8,Female
879,421.9,Female
880,290.5,Female
881,383.4,Female
882,317.8,Female
883,315.2,Female
884,325.3,Female
885,400.3,Female
886,488.5,Female
887,407.4,Female
888,350.1,Female
889,305.2,Female
890,266.8,Female
891,395.6,Female
892,417.2,Female
893,317.9,Female
894,326.9,Female
895,409.9,Female
896,298.6,Female
897,340.7,Female
898,254.5,Female
899,365.9,Female
900,392.7,Female
901,345.2,Female
902,285.6,Female
903,580.4,Female
904,376.0,Female
905,390.3,Female
906,428.7,Female
907,442.6,Overall
908,427.7,Overall
909,547.0,Overall
910,466.8,Overall
911,439.8,Overall
912,461.8,Overall
913,435.5,Overall
914,597.5,Overall
915,489.7,Overall
916,570.0,Overall
917,508.6,Overall
918,639.3,Overall
919,536.7,Overall
920,601.6,Overall
921,594.2,Overall
922,528.4,Overall
923,464.1,Overall
924,490.4,Overall
925,544.6,Overall
926,580.6,Overall
927,471.8,Overall
928,516.4,Overall
929,488.0,Overall
930,642.5,Overall
931,539.0,Overall
932,387.4,Overall
933,445.0,Overall
934,589.7,Overall
935,492.2,Overall
936,450.0,Overall
937,448.4,Overall
938,553.2,Overall
939,537.8,Overall
940,489.3,Overall
941,445.9,Overall
942,469.8,Overall
943,430.7,Overall
944,409.7,Overall
945,468.4,Overall
946,457.7,Overall
947,476.8,Overall
948,428.9,Overall
949,499.3,Overall
950,614.5,Overall
951,426.5,Overall
952,611.6,Overall
953,470.6,Overall
954,548.0,Overall
955,473.0,Overall
956,456.5,Overall
957,371.8,Overall
958,471.4,Overall
959,608.1,Overall
960,503.8,Overall
961,484.1,Overall
962,613.8,Overall
963,354.7,Overall
964,529.3,Overall
965,356.3,Overall
966,505.0,Overall
967,577.9,Overall
968,532.3,Overall
969,477.5,Overall
970,446.4,Overall
971,524.5,Overall
972,892.2,Overall
973,486.9,Overall
974,626.3,Male
975,553.7,Male
976,820.0,Male
977,612.4,Male
978,569.7,Male
979,550.2,Male
980,453.1,Male
981,759.6,Male
982,717.7,Male
983,758.5,Male
984,670.9,Male
985,853.3,Male
986,772.9,Male
987,686.4,Male
988,759.3,Male
989,566.0,Male
990,568.7,Male
991,566.6,Male
992,701.6,Male
993,576.9,Male
994,549.2,Male
995,735.4,Male
996,673.5,Male
997,734.7,Male
998,692.4,Male
999,550.0,Male
1000,528.9,Male
1001,754.5,Male
1002,616.9,Male
1003,552.4,Male
1004,471.5,Male
1005,801.4,Male
1006,736.2,Male
1007,617.6,Male
1008,474.5,Male
1009,534.9,Male
1010,550.1,Male
1011,507.1,Male
1012,612.8,Male
1013,594.3,Male
1014,671.0,Male
1015,532.2,Male
1016,541.2,Male
1017,846.1,Male
1018,514.9,Male
1019,729.5,Male
1020,651.6,Male
1021,632.1,Male
1022,615.5,Male
1023,460.3,Male
1024,484.9,Male
1025,701.4,Male
1026,745.1,Male
1027,625.4,Male
1028,505.0,Male
1029,812.2,Male
1030,380.2,Male
1031,656.5,Male
1032,453.9,Male
1033,597.2,Male
1034,595.0,Male
1035,712.7,Male
1036,597.3,Male
1037,560.9,Male
1038,629.3,Male
1039,997.1,Male
1040,603.7,Male
1041,290.7,Female
1042,343.8,Female
1043,379.0,Female
1044,359.4,Female
1045,355.9,Female
1046,364.6,Female
1047,430.1,Female
1048,517.3,Female
1049,389.1,Female
1050,459.2,Female
1051,373.0,Female
1052,511.0,Female
1053,394.0,Female
1054,506.8,Female
1055,500.3,Female
1056,463.0,Female
1057,389.3,Female
1058,432.9,Female
1059,386.9,Female
1060,488.2,Female
1061,335.0,Female
1062,382.7,Female
1063,427.5,Female
1064,540.2,Female
1065,506.5,Female
1066,308.3,Female
1067,355.6,Female
1068,499.4,Female
1069,394.7,Female
1070,374.9,Female
1071,441.1,Female
1072,415.5,Female
1073,428.1,Female
1074,412.6,Female
1075,398.6,Female
1076,389.9,Female
1077,352.4,Female
1078,332.5,Female
1079,387.7,Female
1080,356.7,Female
1081,381.7,Female
1082,352.0,Female
1083,443.9,Female
1084,396.6,Female
1085,353.8,Female
1086,531.2,Female
1087,341.0,Female
1088,441.0,Female
1089,373.3,Female
1090,445.5,Female
1091,300.7,Female
1092,346.5,Female
1093,497.8,Female
1094,391.7,Female
1095,412.2,Female
1096,418.5,Female
1097,388.0,Female
1098,415.8,Female
1099,318.8,Female
1100,487.6,Female
1101,525.4,Female
1102,392.7,Female
