,Title,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Ratings.Value,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Production,Website
103,The Hunt,R,10-Jan-13,115 min,Drama,Thomas Vinterberg,"Tobias Lindholm (screenplay), Thomas Vinterberg (screenplay)","Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstrøm","A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.","Danish, English, Polish","Denmark, Sweden",Nominated for 1 Oscar. Another 36 wins & 65 nominations.,8.3/10,76,8.3,"194,271",tt2106476,"$610,968 ",Magnolia Pictures,http://www.magpictures.com/thehunt/
104,Good Will Hunting,R,9-Jan-98,126 min,Drama,Gus Van Sant,"Matt Damon, Ben Affleck","Matt Damon, Ben Affleck, Stellan Skarsgård, John Mighton","Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",English,USA,Won 2 Oscars. Another 22 wins & 55 nominations.,8.3/10,70,8.3,"659,342",tt0119217,N/A,Miramax Films,http://www.miramax.com/movie/good-will-hunting/
105,Scarface,R,9-Dec-83,170 min,"Crime, Drama",Brian De Palma,Oliver Stone (screenplay),"Al Pacino, Steven Bauer, Michelle Pfeiffer, Mary Elizabeth Mastrantonio","In Miami in 1980, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.","English, Spanish",USA,Nominated for 3 Golden Globes. Another 4 nominations.,8.3/10,65,8.3,"580,090",tt0086250,"$656,161 ",Universal Films,N/A
106,My Father and My Son,N/A,18-Nov-05,108 min,Drama,Çagan Irmak,Çagan Irmak,"Resit Kurt, Fikret Kuskan, Çetin Tekindor, Furkan Turan",The family of a left-wing journalist is torn apart after a military coup in 1980's Turkey.,Turkish,Turkey,11 wins & 1 nomination.,8.6/10,N/A,8.6,"47,483",tt0476735,N/A,Avsar Yapim,N/A
107,The Apartment,APPROVED,16-Sep-60,125 min,"Comedy, Drama, Romance",Billy Wilder,"Billy Wilder, I.A.L. Diamond","Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston","A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",English,USA,Won 5 Oscars. Another 19 wins & 8 nominations.,8.3/10,N/A,8.3,"119,156",tt0053604,N/A,United Artists,http://www.mgm.com/title_title.php?title_star=APARTMEN
108,Rashomon,UNRATED,26-Dec-51,88 min,"Crime, Drama, Mystery",Akira Kurosawa,"Ryûnosuke Akutagawa (stories), Akira Kurosawa (screenplay), Shinobu Hashimoto (screenplay)","Toshirô Mifune, Machiko Kyô, Masayuki Mori, Takashi Shimura",A heinous crime and its aftermath are recalled from differing points of view.,Japanese,Japan,Nominated for 1 Oscar. Another 9 wins & 4 nominations.,8.3/10,N/A,8.3,"111,960",tt0042876,N/A,N/A,N/A
109,A Separation,PG-13,16-Mar-11,123 min,"Drama, Mystery",Asghar Farhadi,Asghar Farhadi,"Peyman Moaadi, Leila Hatami, Sareh Bayat, Shahab Hosseini",A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,Persian,"Iran, France",Won 1 Oscar. Another 82 wins & 43 nominations.,8.4/10,95,8.4,"166,787",tt1832382,"$6,700,000 ",Sony Pictures Classics,http://www.sonyclassics.com/aseparation/
110,Metropolis,NOT RATED,13-Mar-27,153 min,"Drama, Sci-Fi",Fritz Lang,"Thea von Harbou (screenplay), Thea von Harbou (novel)","Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge, Fritz Rasp","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",German,Germany,5 wins & 4 nominations.,8.3/10,98,8.3,"121,542",tt0017136,"$529,603 ",Paramount Pictures,http://www.kino.com/metropolis
111,Indiana Jones and the Last Crusade,PG-13,24-May-89,127 min,"Action, Adventure, Fantasy",Steven Spielberg,"Jeffrey Boam (screenplay), George Lucas (story), Menno Meyjes (story), George Lucas (characters), Philip Kaufman (characters)","Harrison Ford, Sean Connery, Denholm Elliott, Alison Doody","When Dr. Henry Jones Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Indiana Jones must follow in his father's footsteps to stop the Nazis from getting their hands on the Holy Grail first.","English, German, Greek, Arabic",USA,Won 1 Oscar. Another 6 wins & 20 nominations.,8.3/10,65,8.3,"555,173",tt0097576,N/A,Paramount Pictures,http://www.indianajones.com/
112,All About Eve,APPROVED,15-Jan-51,138 min,Drama,Joseph L. Mankiewicz,Joseph L. Mankiewicz (written for the screen by),"Bette Davis, Anne Baxter, George Sanders, Celeste Holm",An ingenue insinuates herself into the company of an established but aging stage actress and her circle of theater friends.,"English, French",USA,Won 6 Oscars. Another 17 wins & 17 nominations.,8.3/10,N/A,8.3,"89,890",tt0042192,N/A,20th Century Fox,N/A
113,Yojimbo,UNRATED,13-Sep-61,110 min,"Action, Drama, Thriller",Akira Kurosawa,"Akira Kurosawa (story), Akira Kurosawa (screenplay), Ryûzô Kikushima (screenplay)","Toshirô Mifune, Tatsuya Nakadai, Yôko Tsukasa, Isuzu Yamada",A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,Japanese,Japan,Nominated for 1 Oscar. Another 4 wins & 1 nomination.,8.3/10,N/A,8.3,"80,616",tt0055630,N/A,Criterion Collection,N/A
114,Batman Begins,PG-13,15-Jun-05,140 min,"Action, Adventure",Christopher Nolan,"Bob Kane (characters), David S. Goyer (story), Christopher Nolan (screenplay), David S. Goyer (screenplay)","Christian Bale, Michael Caine, Liam Neeson, Katie Holmes","After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from the corruption that Scarecrow and the League of Shadows have cast upon it.","English, Urdu, Mandarin","USA, UK",Nominated for 1 Oscar. Another 14 wins & 71 nominations.,8.3/10,70,8.3,"1,053,569",tt0372784,"$204,100,000 ",Warner Bros. Pictures,http://www.batmanbegins.com/
115,Up,PG,29-May-09,96 min,"Animation, Adventure, Comedy","Pete Docter, Bob Peterson","Pete Docter (story by), Bob Peterson (story by), Tom McCarthy (story by), Bob Peterson (screenplay), Pete Docter (screenplay)","Edward Asner, Christopher Plummer, Jordan Nagai, Bob Peterson","Seventy-eight year old Carl Fredricksen travels to Paradise Falls in his home equipped with balloons, inadvertently taking a young stowaway.",English,USA,Won 2 Oscars. Another 74 wins & 82 nominations.,8.3/10,88,8.3,"727,405",tt1049413,"$292,979,556 ",Walt Disney Pictures,http://Disney.com/UP
116,Some Like It Hot,NOT RATED,14-Apr-59,121 min,"Comedy, Romance",Billy Wilder,"Billy Wilder (screenplay), I.A.L. Diamond (screenplay), Robert Thoeren (suggested by a story by), Michael Logan (suggested by a story by)","Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft","When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",English,USA,Won 1 Oscar. Another 9 wins & 13 nominations.,8.3/10,N/A,8.3,"189,098",tt0053291,N/A,United Artists,http://www.fjtlesoiseaux.fr/cinema.html
117,The Treasure of the Sierra Madre,APPROVED,24-Jan-48,126 min,"Adventure, Drama, Western",John Huston,"John Huston (screenplay), B. Traven (based on the novel by)","Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett","Fred Dobbs and Bob Curtin, two Americans searching for work in Mexico, convince an old prospector to help them mine for gold in the Sierra Madre Mountains.","English, Spanish",USA,Won 3 Oscars. Another 12 wins & 5 nominations.,8.3/10,N/A,8.3,"85,244",tt0040897,N/A,WARNER BROTHERS PICTURES,N/A
118,Unforgiven,R,7-Aug-92,131 min,"Drama, Western",Clint Eastwood,David Webb Peoples,"Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris","Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner and a young man.",English,USA,Won 4 Oscars. Another 40 wins & 28 nominations.,8.2/10,82,8.2,"298,035",tt0105695,N/A,Warner Bros. Pictures,N/A
119,Downfall,R,8-Apr-05,156 min,"Biography, Drama, History",Oliver Hirschbiegel,"Bernd Eichinger (screenplay), Joachim Fest (book), Traudl Junge (book), Melissa Müller (book)","Bruno Ganz, Alexandra Maria Lara, Corinna Harfouch, Ulrich Matthes","Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.","German, Russian, Hungarian","Germany, Austria, Italy",Nominated for 1 Oscar. Another 21 wins & 29 nominations.,8.3/10,82,8.3,"266,492",tt0363163,"$5,475,810 ",Newmarket Films,http://www.downfallthefilm.com/
120,Raging Bull,R,19-Dec-80,129 min,"Biography, Drama, Sport",Martin Scorsese,"Jake LaMotta (based on the book by), Joseph Carter (with), Peter Savage (with), Paul Schrader (screenplay), Mardik Martin (screenplay)","Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent","An emotionally self-destructive boxer's journey through life, as the violence and temper that leads him to the top in the ring destroys his life outside it.",English,USA,Won 2 Oscars. Another 22 wins & 26 nominations.,8.2/10,92,8.2,"251,296",tt0081398,N/A,United Artists,N/A
121,Die Hard,R,20-Jul-88,131 min,"Action, Thriller",John McTiernan,"Roderick Thorp (novel), Jeb Stuart (screenplay), Steven E. de Souza (screenplay)","Bruce Willis, Bonnie Bedelia, Reginald VelJohnson, Paul Gleason","John McClane, officer of the NYPD, tries to save his wife Holly Gennaro and several others that were taken hostage by German terrorist Hans Gruber during a Christmas party at the Nakatomi Plaza in Los Angeles.","English, German, Italian",USA,Nominated for 4 Oscars. Another 6 wins & 2 nominations.,8.2/10,70,8.2,"636,557",tt0095016,N/A,20th Century Fox,http://www.foxhome.com/diehardcollection/index_frames.html
122,The Third Man,APPROVED,31-Aug-49,93 min,"Film-Noir, Mystery, Thriller",Carol Reed,"Graham Greene (by), Graham Greene (screen play)","Joseph Cotten, Alida Valli, Orson Welles, Trevor Howard","Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.","English, German, Russian",UK,Won 1 Oscar. Another 4 wins & 4 nominations.,8.3/10,N/A,8.3,"122,343",tt0041959,N/A,Rialto Pictures,http://www.rialtopictures.com/thirdman
123,Children of Heaven,PG,22-Jan-99,89 min,"Drama, Family",Majid Majidi,Majid Majidi,"Mohammad Amir Naji, Amir Farrokh Hashemian, Bahare Seddiqi, Nafise Jafar-Mohammadi","After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",Persian,Iran,Nominated for 1 Oscar. Another 13 wins & 4 nominations.,8.4/10,N/A,8.4,"35,297",tt0118849,N/A,Miramax,http://www.miramax.com/movie/children-of-heaven
124,Heat,R,15-Dec-95,170 min,"Action, Crime, Drama",Michael Mann,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight","A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist, while both sides attempt to find balance between their personal lives with their professional lives.","English, Spanish",USA,12 nominations.,8.2/10,76,8.2,"461,331",tt0113277,N/A,Warner Bros.,N/A
125,The Great Escape,APPROVED,4-Jul-63,172 min,"Adventure, Drama, History",John Sturges,"Paul Brickhill (book), James Clavell (screenplay), W.R. Burnett (screenplay)","Steve McQueen, James Garner, Richard Attenborough, James Donald",Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,"English, German, French, Russian, Spanish",USA,Nominated for 1 Oscar. Another 2 wins & 9 nominations.,8.2/10,N/A,8.2,"177,901",tt0057115,N/A,VCI,N/A
126,Chinatown,R,20-Jun-74,130 min,"Drama, Mystery, Thriller",Roman Polanski,Robert Towne,"Jack Nicholson, Faye Dunaway, John Huston, Perry Lopez","A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.","English, Cantonese, Spanish",USA,Won 1 Oscar. Another 20 wins & 24 nominations.,8.2/10,86,8.2,"232,188",tt0071315,N/A,Paramount Pictures,N/A
127,Ikiru,NOT RATED,25-Mar-56,143 min,Drama,Akira Kurosawa,"Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni","Takashi Shimura, Shin'ichi Himori, Haruo Tanaka, Minoru Chiaki",A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.,Japanese,Japan,Nominated for 1 BAFTA Film Award. Another 5 wins.,8.3/10,N/A,8.3,"46,630",tt0044741,N/A,Cowboy Pictures,N/A
128,Pan's Labyrinth,R,19-Jan-07,118 min,"Drama, Fantasy, War",Guillermo del Toro,Guillermo del Toro,"Ivana Baquero, Sergi López, Maribel Verdú, Doug Jones","In the falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",Spanish,"Spain, Mexico, USA",Won 3 Oscars. Another 98 wins & 105 nominations.,8.2/10,98,8.2,"501,345",tt0457430,"$37,500,000 ",Picturehouse,http://www.panslabyrinth.com/
129,My Neighbor Totoro,G,16-Apr-88,86 min,"Animation, Family, Fantasy",Hayao Miyazaki,Hayao Miyazaki,"Noriko Hidaka, Chika Sakamoto, Shigesato Itoi, Sumi Shimamoto","When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",Japanese,Japan,5 wins & 2 nominations.,8.2/10,N/A,8.2,"193,678",tt0096283,N/A,Tokuma Shoten,N/A
130,Baby Driver,R,28-Jun-17,113 min,"Action, Crime, Music",Edgar Wright,Edgar Wright,"Ansel Elgort, Jon Bernthal, Jon Hamm, Eiza González","After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",English,"UK, USA",1 win & 1 nomination.,8.5/10,83,8.5,"2,872",tt3890160,"$30,029,105 ",Sony Pictures,http://www.babydriver-movie.com/
131,Inside Out,PG,19-Jun-15,95 min,"Animation, Adventure, Comedy","Pete Docter, Ronnie Del Carmen","Pete Docter (original story by), Ronnie Del Carmen (original story by), Pete Docter (screenplay), Meg LeFauve (screenplay), Josh Cooley (screenplay), Michael Arndt (additional story material by), Bill Hader (additional dialogue by), Amy Poehler (additional dialogue by), Simon Rich (additional story material by)","Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",English,USA,Won 1 Oscar. Another 92 wins & 104 nominations.,8.2/10,94,8.2,"421,211",tt2096673,"$264,317,903 ",Disney/Pixar,https://www.facebook.com/PixarInsideOut
132,Ran,R,1-Jun-85,162 min,"Action, Drama",Akira Kurosawa,"Akira Kurosawa (screenplay), Hideo Oguni (screenplay), Masato Ide (screenplay), William Shakespeare (play)","Tatsuya Nakadai, Akira Terao, Jinpachi Nezu, Daisuke Ryû","In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",Japanese,"Japan, France",Won 1 Oscar. Another 27 wins & 22 nominations.,8.2/10,96,8.2,"84,196",tt0089881,N/A,Rialto Pictures,N/A
133,The Gold Rush,NOT RATED,N/A,95 min,"Adventure, Comedy, Drama",Charles Chaplin,Charles Chaplin,"Charles Chaplin, Mack Swain, Tom Murray, Henry Bergman",A prospector goes to the Klondike in search of gold and finds it and more.,English,USA,Nominated for 2 Oscars. Another 3 wins & 1 nomination.,8.2/10,N/A,8.2,"73,848",tt0015864,N/A,Janus Films,N/A
134,On the Waterfront,APPROVED,22-Jun-54,108 min,"Crime, Drama, Thriller",Elia Kazan,"Budd Schulberg (screenplay), Budd Schulberg (based upon an original story by), Malcolm Johnson (suggested by articles by)","Marlon Brando, Karl Malden, Lee J. Cobb, Rod Steiger",An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,English,USA,Won 8 Oscars. Another 21 wins & 9 nominations.,8.2/10,88,8.2,"109,591",tt0047296,N/A,Sony Pictures,N/A
135,The Secret in Their Eyes,R,21-May-10,129 min,"Drama, Mystery, Romance",Juan José Campanella,"Eduardo Sacheri (screenplay), Juan José Campanella (screenplay), Eduardo Sacheri (novel)","Soledad Villamil, Ricardo Darín, Carla Quevedo, Pablo Rago",A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,Spanish,"Argentina, Spain",Won 1 Oscar. Another 51 wins & 40 nominations.,8.2/10,80,8.2,"145,345",tt1305806,"$6,390,014 ",Sony Pictures Classics,http://www.sonyclassics.com/thesecretintheireyes/
136,Room,R,22-Jan-16,118 min,Drama,Lenny Abrahamson,"Emma Donoghue (screenplay), Emma Donoghue (novel)","Brie Larson, Jacob Tremblay, Sean Bridgers, Wendy Crewson",A young boy is raised within the confines of a small shed.,English,"Ireland, Canada, UK, USA",Won 1 Oscar. Another 102 wins & 132 nominations.,8.2/10,86,8.2,"226,372",tt3170832,"$14,677,654 ",Element Pictures,http://www.lahabitacion.com.ar/
137,The Bridge on the River Kwai,PG,14-Dec-57,161 min,"Adventure, Drama, War",David Lean,"Pierre Boulle (novel), Carl Foreman (screenplay), Michael Wilson (screenplay)","William Holden, Alec Guinness, Jack Hawkins, Sessue Hayakawa","After settling his differences with a Japanese PoW camp commander, a British colonel co-operates to oversee his men's construction of a railway bridge for their captors - while oblivious to a plan by the Allies to destroy it.","English, Japanese, Thai","UK, USA",Won 7 Oscars. Another 23 wins & 7 nominations.,8.2/10,N/A,8.2,"161,564",tt0050212,N/A,Columbia Pictures,N/A
138,Blade Runner,R,25-Jun-82,117 min,"Sci-Fi, Thriller",Ridley Scott,"Hampton Fancher (screenplay), David Webb Peoples (screenplay), Philip K. Dick (novel)","Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos",A blade runner must pursue and try to terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,"English, German, Cantonese, Japanese, Hungarian","USA, Hong Kong, UK",Nominated for 2 Oscars. Another 11 wins & 16 nominations.,8.2/10,89,8.2,"499,344",tt0083658,N/A,Warner Bros. Pictures,N/A
139,Howl's Moving Castle,PG,17-Jun-05,119 min,"Animation, Adventure, Family",Hayao Miyazaki,"Hayao Miyazaki (screenplay), Diana Wynne Jones (novel)","Chieko Baishô, Takuya Kimura, Akihiro Miwa, Tatsuya Gashûin","When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",Japanese,Japan,Nominated for 1 Oscar. Another 15 wins & 19 nominations.,8.2/10,80,8.2,"236,747",tt0347149,"$4,520,887 ",Buena Vista,http://www.howl-movie.com/
140,La La Land,PG-13,25-Dec-16,128 min,"Comedy, Drama, Music",Damien Chazelle,Damien Chazelle,"Ryan Gosling, Emma Stone, Amiée Conn, Terry Walters",A jazz pianist falls for an aspiring actress in Los Angeles.,English,USA,Won 6 Oscars. Another 197 wins & 243 nominations.,8.2/10,93,8.2,"272,059",tt3783958,"$151,058,124 ",Liongate Films,http://www.lalaland.movie/
141,Incendies,R,12-Jan-11,131 min,"Drama, Mystery, War",Denis Villeneuve,"Denis Villeneuve (scenario), Wajdi Mouawad (play), Valérie Beaugrand-Champagne (collaboration), Denis Villeneuve (dialogue)","Mustafa Kamel, Hussein Sami, Rémy Girard, Mélissa Désormeaux-Poulin","Twins journey to the Middle East to discover their family history, and fulfill their mother's last wishes.","French, Arabic, English","Canada, France",Nominated for 1 Oscar. Another 39 wins & 15 nominations.,8.2/10,80,8.2,"94,067",tt1255953,"$6,857,096 ",Sony Pictures Classics,http://www.sonyclassics.com/incendies
142,Judgment at Nuremberg,NOT RATED,18-Dec-61,186 min,"Drama, War",Stanley Kramer,"Abby Mann, Abby Mann (based on his original story by)","Spencer Tracy, Burt Lancaster, Richard Widmark, Marlene Dietrich","In 1948, an American court in occupied Germany tries four Nazi judges for war crimes.","English, German",USA,Won 2 Oscars. Another 13 wins & 25 nominations.,8.3/10,N/A,8.3,"49,303",tt0055031,N/A,United Artists,N/A
143,The Seventh Seal,NOT RATED,13-Oct-58,96 min,"Drama, Fantasy",Ingmar Bergman,"Ingmar Bergman (play), Ingmar Bergman (screenplay)","Gunnar Björnstrand, Bengt Ekerot, Nils Poppe, Max von Sydow","A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.","Swedish, Latin",Sweden,7 wins & 1 nomination.,8.2/10,N/A,8.2,"121,318",tt0050976,N/A,Janus Films,N/A
144,"Lock, Stock and Two Smoking Barrels",R,28-Aug-98,107 min,"Comedy, Crime",Guy Ritchie,Guy Ritchie,"Jason Flemyng, Dexter Fletcher, Nick Moran, Jason Statham","A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns.",English,UK,Nominated for 1 BAFTA Film Award. Another 13 wins & 7 nominations.,8.2/10,66,8.2,"442,704",tt0120735,N/A,Gramercy Pictures,N/A
145,Mr. Smith Goes to Washington,NOT RATED,19-Oct-39,129 min,"Comedy, Drama",Frank Capra,"Sidney Buchman (screen play), Lewis R. Foster (story)","Jean Arthur, James Stewart, Claude Rains, Edward Arnold","A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",English,USA,Won 1 Oscar. Another 4 wins & 11 nominations.,8.2/10,N/A,8.2,"83,328",tt0031679,N/A,ITVS,http://www.mrsmithmovie.com/
146,Casino,R,22-Nov-95,178 min,"Crime, Drama",Martin Scorsese,"Nicholas Pileggi (book), Nicholas Pileggi (screenplay), Martin Scorsese (screenplay)","Robert De Niro, Sharon Stone, Joe Pesci, James Woods","Greed, deception, money, power, and murder occur between two best friends: a mafia underboss and a casino owner, for a trophy wife over a gambling empire.",English,"France, USA",Nominated for 1 Oscar. Another 3 wins & 9 nominations.,8.2/10,73,8.2,"360,941",tt0112641,N/A,Universal Pictures,N/A
147,A Beautiful Mind,PG-13,4-Jan-02,135 min,"Biography, Drama",Ron Howard,"Akiva Goldsman, Sylvia Nasar (book)","Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer","After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",English,USA,Won 4 Oscars. Another 33 wins & 65 nominations.,8.2/10,72,8.2,"667,901",tt0268978,N/A,Universal Pictures,http://www.abeautifulmind.com
148,Logan,R,3-Mar-17,137 min,"Action, Drama, Sci-Fi",James Mangold,"James Mangold (story by), Scott Frank (screenplay), James Mangold (screenplay), Michael Green (screenplay)","Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook","In the near future, a weary Logan cares for an ailing Professor X somewhere on the Mexican border. However, Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.","English, Spanish","USA, Canada, Australia",1 win & 2 nominations.,8.3/10,77,8.3,"316,354",tt3315342,"$226,252,579 ",20th Century Fox,http://www.foxmovies.com/movies/logan
149,The Elephant Man,PG,10-Oct-80,124 min,"Biography, Drama",David Lynch,"Christopher De Vore (screenplay), Eric Bergren (screenplay), David Lynch (screenplay), Frederick Treves (book), Ashley Montagu (in part on the book ""The Elephant Man: A Study in Human Dignity"")","Anthony Hopkins, John Hurt, Anne Bancroft, John Gielgud","A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous facade, there is revealed a person of intelligence and sensitivity.",English,"USA, UK",Nominated for 8 Oscars. Another 10 wins & 14 nominations.,8.2/10,N/A,8.2,"174,583",tt0080678,N/A,Paramount,N/A
150,Andrei Rublev,NOT RATED,N/A,205 min,"Biography, Drama, History",Andrei Tarkovsky,"Andrey Konchalovskiy, Andrei Tarkovsky","Anatoliy Solonitsyn, Ivan Lapikov, Nikolay Grinko, Nikolay Sergeev","The life, times and afflictions of the fifteenth-century Russian iconographer.","Russian, Italian, Tatar",Soviet Union,3 wins.,8.3/10,N/A,8.3,"26,621",tt0060107,N/A,Criterion Collection,N/A
151,Wild Strawberries,UNRATED,22-Jun-59,91 min,"Drama, Romance",Ingmar Bergman,Ingmar Bergman,"Victor Sjöström, Bibi Andersson, Ingrid Thulin, Gunnar Björnstrand","After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.","Swedish, Latin",Sweden,Nominated for 1 Oscar. Another 16 wins & 2 nominations.,8.2/10,N/A,8.2,"68,660",tt0050986,N/A,Janus Films,N/A
152,V for Vendetta,R,17-Mar-06,132 min,"Action, Drama, Thriller",James McTeigue,"Lilly Wachowski (screenplay), Lana Wachowski (screenplay), David Lloyd (graphic novel art)","Natalie Portman, Hugo Weaving, Stephen Rea, Stephen Fry","In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",English,"USA, UK, Germany",7 wins & 27 nominations.,8.2/10,62,8.2,"849,623",tt0434409,"$70,500,000 ",Warner Bros. Pictures,http://vforvendetta.warnerbros.com/
153,The General,UNRATED,24-Feb-27,67 min,"Action, Adventure, Comedy","Clyde Bruckman, Buster Keaton","Buster Keaton, Clyde Bruckman, Al Boasberg (adapted by), Charles Henry Smith (adapted by)","Buster Keaton, Marion Mack, Glen Cavender, Jim Farley","When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.",English,USA,2 wins & 1 nomination.,8.2/10,N/A,8.2,"58,327",tt0017925,N/A,United Artists Films,N/A
154,The Wolf of Wall Street,R,25-Dec-13,180 min,"Biography, Comedy, Crime",Martin Scorsese,"Terence Winter (screenplay), Jordan Belfort (book)","Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","English, French",USA,Nominated for 5 Oscars. Another 38 wins & 165 nominations.,8.2/10,75,8.2,"874,371",tt0993846,"$91,330,760 ",Paramount Studios,http://www.thewolfofwallstreet.com/
155,Warrior,PG-13,9-Sep-11,140 min,"Action, Drama, Sport",Gavin O'Connor,"Gavin O'Connor (screenplay), Anthony Tambakis (screenplay), Cliff Dorfman (screenplay), Gavin O'Connor (story), Cliff Dorfman (story)","Joel Edgerton, Tom Hardy, Nick Nolte, Jennifer Morrison","The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.","English, Spanish",USA,Nominated for 1 Oscar. Another 6 wins & 20 nominations.,8.2/10,71,8.2,"358,261",tt1291584,"$13,600,000 ",Lionsgate,http://www.WarriorFilm.com
156,The Bandit,N/A,29-Nov-96,128 min,"Crime, Drama, Thriller",Yavuz Turgul,Yavuz Turgul,"Sener Sen, Ugur Yücel, Sermin Hürmeriç, Yesim Salkim","The epic adventures of the legendary Baran the Bandit following his release from prison. After serving 35 years, it is no surprise that the world has changed dramatically. Still, Baran ...",Turkish,"Turkey, France, Bulgaria",2 wins.,8.4/10,N/A,8.4,"41,769",tt0116231,N/A,N/A,N/A
157,Trainspotting,R,9-Aug-96,94 min,Drama,Danny Boyle,"John Hodge (screenplay), Irvine Welsh (novel)","Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Kevin McKidd","Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",English,UK,Nominated for 1 Oscar. Another 23 wins & 32 nominations.,8.2/10,83,8.2,"517,568",tt0117951,N/A,Miramax Films,http://www.miramax.com/movie/trainspotting/
