,City,Cloudliness,Country,Date,Humidity,Lat,Lng,Max. Temp,Wind Speed
160,calabar,75,NG,1544347372.0582569,88,4.98,8.34,78.8,3.6
162,tibati,0,CM,1544347372.373703,30,6.47,12.63,83.16,9.31
163,yenagoa,20,NG,1544347372.4848719,83,4.92,6.26,84.69,4.5
165,cocobeach,20,GA,1544347372.833908,78,1.01,9.58,82.4,3.36
166,wukari,48,NG,1544347372.945531,32,7.87,9.78,83.3,10.58
167,bembereke,0,BJ,1544347373.066908,39,10.23,2.66,79.88,7.78
169,lokoja,12,NG,1544347373.444333,70,7.8,6.74,83.93,4.27
170,igboho,0,NG,1544347373.659862,41,8.84,3.76,81.23,6.11
171,poli,0,CM,1544347373.780706,43,8.48,13.24,82.04,4.09
172,lafiagi,0,NG,1544347373.890752,49,8.85,5.42,83.75,5.55
174,binga,68,ZW,1544347374.7425358,89,-17.62,27.34,75.89,5.84
175,bida,0,NG,1544347374.968309,51,9.08,6.02,84.2,4.21
176,bongandanga,20,CD,1544347375.1735291,88,1.51,21.07,78.08,3.09
177,anloga,20,GH,1544347375.288094,94,5.79,0.9,78.8,10.29
178,bangui,40,CF,1544347375.496625,88,4.39,18.55,75.2,2.24
179,mumford,0,GH,1544347375.612735,89,5.26,-0.76,84.51,4.21
180,tibati,0,CM,1544347375.722222,30,6.47,12.63,83.16,9.31
181,kagoro,0,NG,1544347375.9383428,44,9.6,8.38,78.21,8.34
182,impfondo,88,CD,1544347376.050163,85,1.62,18.06,78.84,3.04
183,port-gentil,20,GA,1544347376.16516,74,-0.72,8.78,86.0,4.7
184,impfondo,88,CD,1544347376.282346,85,1.62,18.06,78.84,3.04
185,save,0,BJ,1544347376.494689,62,8.04,2.49,83.48,3.83
186,bida,0,NG,1544347376.613656,51,9.08,6.02,84.2,4.21
187,yenagoa,20,NG,1544347376.7257652,83,4.92,6.26,84.69,4.5
188,gamboula,0,CF,1544347376.939662,96,4.12,15.14,78.44,6.06
189,otukpo,0,NG,1544347377.156251,60,7.19,8.13,85.91,4.72
190,nola,0,CF,1544347377.379742,70,3.52,16.05,82.85,2.98
191,port-gentil,20,GA,1544347377.495521,74,-0.72,8.78,86.0,4.7
192,kyabe,0,TD,1544347377.6104681,27,9.45,18.94,86.63,10.09
193,bangui,40,CF,1544347377.8526561,88,4.39,18.55,75.2,2.24
194,ikom,8,NG,1544347377.970836,67,5.96,8.72,86.18,3.87
195,nanga eboko,8,CM,1544347378.110067,85,4.68,12.37,77.99,4.61
196,foumban,44,CM,1544347378.315488,48,5.73,10.9,78.26,3.49
197,warri,0,NG,1544347378.425015,88,5.52,5.75,85.55,4.61
198,warri,0,NG,1544347378.541204,88,5.52,5.75,85.55,4.61
199,damara,40,CF,1544347378.760175,88,4.96,18.7,75.2,2.24
200,tignere,8,CM,1544347378.870225,31,7.37,12.65,78.48,6.33
201,luba,0,PH,1544347378.985267,58,17.32,120.7,82.67,5.32
202,aku,0,NG,1544347379.193346,69,7.36,7.54,85.14,4.05
203,makokou,76,GA,1544347379.300332,93,0.56,12.85,75.29,2.86
204,oron,75,NG,1544347379.523239,88,4.81,8.23,78.8,3.6
205,benoy,90,RU,1544347379.735678,93,43.06,46.02,37.4,8.95
206,epe,75,DE,1544347379.851882,87,52.18,7.04,44.6,16.11
207,kpandae,0,GH,1544347380.071528,66,8.46,-0.01,83.79,4.5
208,luba,0,PH,1544347380.197116,58,17.32,120.7,82.67,5.32
209,luba,0,PH,1544347380.3152268,58,17.32,120.7,82.67,5.32
210,bauchi,20,NG,1544347380.53682,36,10.31,9.85,76.19,6.22
211,nkan,75,GQ,1544347380.749186,83,2.26,11.22,77.0,2.86
212,kabo,0,CF,1544347380.8801,34,7.69,18.62,87.71,5.28
213,kyabe,0,TD,1544347381.001536,27,9.45,18.94,86.63,10.09
214,pobe,0,BJ,1544347381.211692,71,6.98,2.66,84.92,4.61
216,kyabe,0,TD,1544347381.450082,27,9.45,18.94,86.63,10.09
217,cape coast,0,GH,1544347381.6594272,85,5.11,-1.24,83.12,3.53
218,ilesha,0,NG,1544347381.884406,70,7.14,5.26,84.33,4.27
219,tignere,8,CM,1544347382.0013928,31,7.37,12.65,78.48,6.33
220,abonnema,75,NG,1544347382.116715,88,4.71,6.79,78.8,4.5
222,saa,0,NG,1544347382.524035,28,7.32,10.08,85.86,3.83
223,yenagoa,20,NG,1544347382.640152,83,4.92,6.26,84.69,4.5
224,sibut,0,CF,1544347382.917043,67,5.73,19.09,84.24,5.39
225,kumbo,44,CM,1544347383.148736,48,6.21,10.69,78.26,3.49
226,carnot,0,CF,1544347383.2661572,76,4.94,15.87,80.46,4.38
227,lokoja,12,NG,1544347383.380515,70,7.8,6.74,83.93,4.27
228,pala,0,IN,1544347383.4981718,46,9.71,76.68,91.4,8.05
229,iseyin,0,NG,1544347383.7069068,61,7.97,3.6,84.11,3.27
230,keta,20,GH,1544347383.8184261,94,5.92,0.99,78.8,10.29
231,aba,75,NG,1544347384.0716329,88,5.11,7.36,78.8,4.61
232,bembereke,0,BJ,1544347384.180532,39,10.23,2.66,79.88,7.78
233,anloga,20,GH,1544347384.296593,94,5.79,0.9,78.8,10.29
234,jalingo,44,NG,1544347384.414996,30,10.3,10.93,78.03,9.53
235,carnot,0,CF,1544347384.527049,76,4.94,15.87,80.46,4.38
236,mongoumba,48,CD,1544347384.6439638,75,3.64,18.59,82.67,2.86
237,batouri,8,CM,1544347384.860289,96,4.44,14.36,78.35,5.32
238,akonolinga,32,CM,1544347385.069196,79,3.77,12.24,77.81,2.75
239,parakou,0,BJ,1544347385.191902,38,9.34,2.63,81.77,7.52
240,igbo ora,0,NG,1544347385.408716,70,7.43,3.28,85.1,4.54
241,sibut,0,CF,1544347385.518263,67,5.73,19.09,84.24,5.39
242,ouesso,48,CG,1544347385.731775,87,1.61,16.05,79.79,2.75
244,epe,75,DE,1544347385.9703739,87,52.18,7.04,44.6,16.11
245,anloga,20,GH,1544347386.0873878,94,5.79,0.9,78.8,10.29
246,libreville,20,GA,1544347386.200479,78,0.39,9.45,82.4,3.36
248,anloga,20,GH,1544347386.435088,94,5.79,0.9,78.8,10.29
249,parakou,0,BJ,1544347386.5533729,38,9.34,2.63,81.77,7.52
250,bouar,76,CF,1544347386.770907,53,5.94,15.59,77.72,5.21
251,mbalmayo,75,CM,1544347386.977108,83,3.52,11.5,75.2,3.09
252,abonnema,75,NG,1544347387.085682,88,4.71,6.79,78.8,4.5
253,nikki,0,BJ,1544347387.199094,37,9.94,3.21,80.28,6.89
254,impfondo,88,CD,1544347387.316561,85,1.62,18.06,78.84,3.04
255,biu,24,NG,1544347387.539799,26,10.61,12.19,78.93,11.92
256,boende,20,CD,1544347387.655143,77,-0.28,20.88,82.58,3.09
258,warri,0,NG,1544347387.9215732,88,5.52,5.75,85.55,4.61
259,luba,0,PH,1544347388.0407538,58,17.32,120.7,82.67,5.32
260,kribi,88,CM,1544347388.160059,91,2.94,9.91,80.64,3.87
261,limbe,75,MW,1544347388.275915,83,-15.81,35.05,73.4,11.41
262,benoy,90,RU,1544347388.393378,93,43.06,46.02,37.4,8.95
263,betare oya,0,CM,1544347388.607169,62,5.6,14.08,80.78,4.09
264,bertoua,0,CM,1544347388.723847,93,4.58,13.68,77.76,5.55
265,sangmelima,32,CM,1544347388.830678,78,2.93,11.98,76.86,2.98
266,douala,75,CM,1544347388.964143,88,4.04,9.71,82.4,4.7
267,bugama,75,NG,1544347389.173694,88,4.73,6.86,78.8,4.5
268,makokou,76,GA,1544347389.286537,93,0.56,12.85,75.29,2.86
269,luba,0,PH,1544347389.4051251,58,17.32,120.7,82.67,5.32
270,lafia,76,NG,1544347389.523478,57,8.5,8.51,81.09,6.78
271,tchollire,0,CM,1544347389.752704,49,8.4,14.17,80.15,4.32
272,wukari,48,NG,1544347389.869375,32,7.87,9.78,83.3,10.58
273,mongoumba,48,CD,1544347389.984433,75,3.64,18.59,82.67,2.86
274,port-gentil,20,GA,1544347390.097266,74,-0.72,8.78,86.0,4.7
275,pobe,0,BJ,1544347390.214705,71,6.98,2.66,84.92,4.61
276,nola,0,CF,1544347390.326122,70,3.52,16.05,82.85,2.98
278,kyabe,0,TD,1544347390.571817,27,9.45,18.94,86.63,10.09
279,ebebiyin,75,GQ,1544347390.790928,83,2.15,11.34,77.0,2.86
280,ngaoundere,0,CM,1544347390.9058108,42,7.32,13.58,77.54,6.73
281,kabo,0,CF,1544347391.0255098,34,7.69,18.62,87.71,5.28
282,eseka,36,CM,1544347391.136471,83,3.65,10.77,79.25,3.38
283,moissala,32,TD,1544347391.352565,34,8.34,17.77,85.91,4.83
284,ngaoundere,0,CM,1544347391.465475,42,7.32,13.58,77.54,6.73
285,bouca,0,CF,1544347391.675839,39,6.51,18.28,85.68,8.3
286,mbandaka,64,CD,1544347391.7920551,96,0.05,18.26,75.51,2.75
288,mongomo,75,GA,1544347392.0168839,83,1.63,11.31,77.0,2.75
289,abonnema,75,NG,1544347392.131079,88,4.71,6.79,78.8,4.5
290,akure,0,NG,1544347392.3475041,70,7.25,5.19,84.33,4.27
292,anloga,20,GH,1544347392.584168,94,5.79,0.9,78.8,10.29
293,tema,8,GH,1544347392.8155441,83,5.66,-0.01,82.4,8.05
294,yenagoa,20,NG,1544347392.926492,83,4.92,6.26,84.69,4.5
295,lafiagi,0,NG,1544347393.041234,49,8.85,5.42,83.75,5.55
296,yenagoa,20,NG,1544347393.1609979,83,4.92,6.26,84.69,4.5
297,oyem,75,GA,1544347393.371208,83,1.6,11.57,77.0,2.75
298,yola,0,NG,1544347393.494442,39,9.26,12.45,84.47,3.49
299,lafia,76,NG,1544347393.610709,57,8.5,8.51,81.09,6.78
301,kyabe,0,TD,1544347393.842605,27,9.45,18.94,86.63,10.09
302,kyabe,0,TD,1544347393.956855,27,9.45,18.94,86.63,10.09
303,mitzic,68,GA,1544347394.068244,92,0.78,11.55,75.69,2.98
304,bauchi,20,NG,1544347394.1794481,36,10.31,9.85,76.19,6.22
305,batangafo,12,CF,1544347394.293548,34,7.3,18.29,85.37,7.23
306,kande,90,UG,1544347394.412143,88,0.3,32.05,68.0,9.17
307,okitipupa,0,NG,1544347394.6452658,78,6.5,4.78,84.74,1.48
308,ouesso,48,CG,1544347394.7776818,87,1.61,16.05,79.79,2.75
310,muyuka,75,CM,1544347395.095499,88,4.29,9.41,82.4,4.7
311,mumford,0,GH,1544347395.207875,89,5.26,-0.76,84.51,4.21
312,yenagoa,20,NG,1544347395.3360288,83,4.92,6.26,84.69,4.5
313,port-gentil,20,GA,1544347395.454746,74,-0.72,8.78,86.0,4.7
314,yaounde,75,CM,1544347395.6813262,83,3.87,11.52,75.2,3.09
